243,Giant Pangolin,Smutsia gigantea,20 yrs
244,Northern Flying Squirrel,Glaucomys sabrinus,4-13 yrs
245,Oriental Small-Clawed Otter,Aonyx cinerea,11-16 yrs
246,European Mink,Mustela lutreola,6-12 yrs
247,Waterbuck,Kobus ellipsiprymnus,18-30 yrs
248,Barbary Sheep,Ammotragus lervia,10-20 yrs
249,Wild Goat,Capra aegagrus,12-22
250,Hartebeest,Alcelaphus buselaphus,12-15 yrs
251,Wood Mouse,Apodemus sylvaticus,1-4 yrs
252,Sooty Mangabey,Cercocebus atys,18-26 yrs
253,Himalayan Tahr,Hemitragus jemlahicus,14-22 yrs
254,Gerenuk,Litocranius walleri,8-13 yrs
255,Beech Marten,Martes foina,3-18 yrs
256,Gambian Pouched Rat,Cricetomys gambianus,2-7 yrs
257,Thomasomys ucucha,Thomasomys ucucha,
258,Klipspringer,Oreotragus oreotragus,15-17 yrs
259,Giant Eland,Taurotragus derbianus,20-25 yrs
260,Indian Gray Mongoose,Herpestes edwardsii,7-11 yrs
261,Brazilian Tapir,Tapirus terrestris,30-35 yrs
262,Swift Fox,Vulpes velox,3-14 yrs
263,Tibetan Antelope,Pantholops hodgsonii,8-10 yrs
264,Chinkara,Gazella bennettii,12-15 yrs
265,Giant Forest Hog,Hylochoerus meinertzhageni,5-18 yrs
266,Eastern Chipmunk,Tamias striatus,2-8 yrs
267,Collared Peccary,Pecari tajacu,10-30 yrs
268,Common Genet,Genetta genetta,8-20 yrs
269,Argali,Ovis ammon,10-13 yrs
270,Mountain Zebra,Equus zebra,20-30 yrs
271,American Pika,Ochotona princeps,3-7 yrs
272,Mountain Beaver,Aplodontia rufa,6-10 yrs
273,Swamp Rabbit,Sylvilagus aquaticus,1.8-9 yrs
274,Andean Mountain Cat,Leopardus jacobita,16 yrs
275,European Water Vole,Arvicola amphibius,5-29 mos
276,Olive Baboon,Papio anubis,25-30 yrs
277,Nubian Ibex,Capra nubiana,10-17 yrs
278,Amazonian Manatee,Trichechus inunguis,12.5-30 yrs
279,Tiger Quoll,Dasyurus maculatus,2-5 yrs
280,Kodkod,Leopardus guigna,11 yrs
281,Southern Pig-Tailed Macaque,Macaca nemestrina,26-35 yrs
282,Black-Tailed Prairie Dog,Cynomys ludovicianus,5-8.5 yrs
283,Water Opossum,Chironectes minimus,1-3 yrs
284,Southern Flying Squirrel,Glaucomys volans,5-10 yrs
285,Oncilla,Leopardus tigrinus,17 yrs
286,Chinese Pangolin,Manis pentadactyla,20 yrs
287,Indri,Indri indri,15-22 yrs
288,Yellow-Throated Marten,Martes flavigula,16 yrs
289,Olinguito,Bassaricyon neblina,20-25 yrs
290,Pygmy three-toed sloth,Bradypus pygmaeus,
291,Crab-Eating Fox,Cerdocyon thous,11 yrs
292,Urial,Ovis orientalis,8-12 yrs
293,Emperor Tamarin,Saguinus imperator,20 yrs
294,Bay Cat,Catopuma badia,10-17 yrs
295,Green Monkey,Chlorocebus sabaeus,17-30 yrs
296,Marbled Cat,Pardofelis marmorata,12 yrs
297,Common Opossum,Didelphis marsupialis,2.5 yrs
298,Cotton-Top Tamarin,Saguinus oedipus,13-23 yrs
299,Japanese Serow,Capricornis crispus,20-25 yrs
300,Finless Porpoise,Neophocaena phocaenoides,25 yrs
301,Northern Short-Tailed Shrew,Blarina brevicauda,1-3 yrs
302,Indian Palm Squirrel,Funambulus palmarum,2-5.5 yrs
303,Common Shrew,Sorex araneus,15-18 mos
304,Lar Gibbon,Hylobates lar,30-44 yrs
305,Ground Pangolin,Smutsia temminckii,20 yrs
306,Smooth-Coated Otter,Lutrogale perspicillata,4-20 yrs
307,Common Wombat,Vombatus ursinus,15-20 yrs
308,Roborovski Hamster,Phodopus roborovskii,2-4 yrs
309,Mountain Hare,Lepus timidus,12 yrs
310,African Golden Cat,Caracal aurata,15 yrs
311,Red-Necked Wallaby,Macropus rufogriseus,7-15 yrs
312,Campbell's Dwarf Hamster,Phodopus campbelli,2-2.5 yrs
313,Red River Hog,Potamochoerus porcus,15-20 yrs
314,Deer Mouse,Peromyscus maniculatus,1.5-8 yrs
315,Senegal Bushbaby,Galago senegalensis,3-14 yrs
316,Silver-Backed Chevrotain,Tragulus versicolor,
317,Monito Del Monte,Dromiciops gliroides,26 months
318,Thirteen-Lined Ground Squirrel,Ictidomys tridecemlineatus,7.9 yrs
319,Siberian Musk Deer,Moschus moschiferus,10-20 yrs
320,Alpine Marmot,Marmota marmota,15-18 yrs
321,European Mole,Talpa europaea,3-5 yrs
322,Eurasian Harvest Mouse,Micromys minutus,1-5 yrs
323,Pygmy sperm whale,Kogia breviceps,
324,Indian Muntjac,Muntiacus muntjak,15-20 yrs
325,White-Tailed Jackrabbit,Lepus townsendii,3-8 yrs
326,Drill,Mandrillus leucophaeus,28-30 yrs
327,Kiang,Equus kiang,20 yrs
328,Pseudoryzomys,Pseudoryzomys simplex,
329,Black Flying Fox,Pteropus alecto,15-20 yrs
330,Common Ringtail Possum,Pseudocheirus peregrinus,5-8 years
331,Honduran White Bat,Ectophylla alba,20 yrs
332,Common Vole,Microtus arvalis,4.5 mos
333,Culpeo,Lycalopex culpaeus,11 yrs
334,Black Wildebeest,Connochaetes gnou,20 yrs
335,Douglas Squirrel,Tamiasciurus douglasii,5-6 yrs
336,Tucuxi,Sotalia fluviatilis,35 yrs
337,Bushpig,Potamochoerus larvatus,20 yrs
338,Hoary Marmot,Marmota caligata,12 yrs
339,Eastern Barred Bandicoot,Perameles gunnii,2-3 yrs
340,Banded Mongoose,Mungos mungo,12 yrs
341,Panamanian White-Faced Capuchin,Cebus imitator,over 54 yrs
342,Marine Otter,Lontra felina,14 yrs
343,Reeves's Muntjac,Muntiacus reevesi,10-18 yrs
344,Red-Shanked Douc,Pygathrix nemaeus,25 yrs
345,Lechwe,Kobus leche,15 yrs
346,Common Marmoset,Callithrix jacchus,10-16 yrs
347,Big Brown Bat,Eptesicus fuscus,6.5-20 yrs
348,Abert's Squirrel,Sciurus aberti,7 yrs
349,Four-Toed Hedgehog,Atelerix albiventris,3-10 yrs
350,California Ground Squirrel,Otospermophilus beecheyi,6-10 yrs
351,Siberian Weasel,Mustela sibirica,2-8 yrs
352,Common Minke Whale,Balaenoptera acutorostrata,45-50 trs
353,Northern Hairy-Nosed Wombat,Lasiorhinus krefftii,25 yrs
354,Pampas Cat,Leopardus colocola,10-15 yrs
355,Galápagos Sea Lion,Zalophus wollebaeki,15-24 yrs
356,Tree Pangolin,Phataginus tricuspis,13 yrs
357,Geoffroy's Cat,Leopardus geoffroyi,14 yrs
358,Meadow Vole,Microtus pennsylvanicus,1-5 yrs
359,Indian Porcupine,Hystrix indica,20 yrs
360,Desert Cottontail,Sylvilagus audubonii,up to 2 yrs
361,Celebes Crested Macaque,Macaca nigra,18-20 yrs
362,Hector's Dolphin,Cephalorhynchus hectori,20 yrs
363,Side-Striped Jackal,Canis adustus,10 yrs
364,Chinese Mountain Cat,Felis bieti,
365,Large Indian Civet,Viverra zibetha,15-20 yrs
366,Western Grey Kangaroo,Macropus fuliginosus,10-20 yrs
367,Japanese Badger,Meles anakuma,10-19.5 yrs
368,Sunda Pangolin,Manis javanica,
369,Flat-Headed Cat,Prionailurus planiceps,14 yrs
370,Paca,Cuniculus paca,12.5 yrs
371,European Hamster,Cricetus cricetus,up to 8 yrs
372,Gee's Golden Langur,Trachypithecus geei,
373,Coquerel's Sifaka,Propithecus coquereli,25-30 yrs
374,Pygmy killer whale,Feresa attenuata,
375,Roan Antelope,Hippotragus equinus,15-17 yrs
376,Mountain Tapir,Tapirus pinchaque,28.5 yrs
377,Sitatunga,Tragelaphus spekii,20-23 yrs
378,Asian House Shrew,Suncus murinus,1-2 yrs
379,Dorcas Gazelle,Gazella dorcas,15 yrs
380,Siberian Chipmunk,Eutamias sibiricus,2-10 yrs
381,Egyptian Fruit Bat,Rousettus aegyptiacus,22-25 yrs
382,Visayan Warty Pig,Sus cebifrons,10-15 yrs
383,Bengal Fox,Vulpes bengalensis,10 yrs
384,Crab-Eating Raccoon,Procyon cancrivorus,14 yrs
385,Bornean Bearded Pig,Sus barbatus,13-16 yrs
386,Northern Fur Seal,Callorhinus ursinus,26 yrs
387,Geoffroy's Spider Monkey,Ateles geoffroyi,33 yrs
388,Antarctic Fur Seal,Arctocephalus gazella,15-25 yrs
389,Cozumel Raccoon,Procyon pygmaeus,1.8-20 yrs
390,Madame Berthe's Mouse Lemur,Microcebus berthae,
391,Four-Horned Antelope,Tetracerus quadricornis,10 yrs
392,Masked Palm Civet,Paguma larvata,10-20 yrs
393,Lesser Kudu,Tragelaphus imberbis,10-15 yrs
394,Small Indian Civet,Viverricula indica,8-9 yrs
395,White-Footed Mouse,Peromyscus leucopus,1-3 yrs
396,Siberian Ibex,Capra sibirica,10-22 yrs
397,African Clawless Otter,Aonyx capensis,10-15 yrs
398,White-Lipped Peccary,Tayassu pecari,13 yrs
399,Egyptian Mongoose,Herpestes ichneumon,12-20yrs
400,Striped Polecat,Ictonyx striatus,13-14 yrs
401,Common Pipistrelle,Pipistrellus pipistrellus,4-16 yrs
402,Oribi,Ourebia ourebi,8-14 yrs
403,Black-Capped Capuchin,Sapajus apella,25-45 yrs
404,Tammar Wallaby,Macropus eugenii,10-14 yrs
405,Hog Deer,Hyelaphus porcinus,10-20 yrs
406,South American Sea Lion,Otaria flavescens,16-30 yrs
407,Norway Lemming,Lemmus lemmus,1-3.3 yrs
408,Olympic Marmot,Marmota olympus,2-6 yrs
409,Kirk's Dik-Dik,Madoqua kirkii,5-18 yrs
410,Blue Monkey,Cercopithecus mitis,20-30 yrs
411,Philippine Flying Lemur,Cynocephalus volans,17.5 yrs
412,Bontebok,Damaliscus pygargus,17 yrs
413,Antelope Jackrabbit,Lepus alleni,1-5 yrs
414,Yellow Baboon,Papio cynocephalus,20-30 yrs
415,Patas Monkey,Erythrocebus patas,15-24 yrs
416,Antilopine Kangaroo,Macropus antilopinus,16 yrs
417,Sunda Flying Lemur,Galeopterus variegatus,17.5 yrs
418,Puku,Kobus vardonii,17 yrs
419,Steenbok,Raphicerus campestris,7-9 yrs
420,Amami rabbit,Pentalagus furnessi,
421,Philippine Mouse-Deer,Tragulus nigricans,14 yrs
422,Goodman's Mouse Lemur,Microcebus lehilahytsara,5 yrs
423,Short-Eared Dog,Atelocynus microtis,9-11 yrs
424,Eastern Quoll,Dasyurus viverrinus,3-6 yrs
425,Marbled Polecat,Vormela peregusna,8.8 yrs
426,Central American Agouti,Dasyprocta punctata,10 yrs
427,Australian Sea Lion,Neophoca cinerea,12-16 yrs
428,Tufted Deer,Elaphodus cephalophus,7-12 yrs
429,Nilgiri Langur,Semnopithecus johnii,up to 29 yrs
430,Rusa Deer,Rusa timorensis,15-20 yrs
431,Blanford's Fox,Vulpes cana,4-10 yrs
432,Bushy-Tailed Woodrat,Neotoma cinerea,5.8 yrs
433,Bonnet Macaque,Macaca radiata,20-35 yrs
434,Goitered Gazelle,Gazella subgutturosa,12-20 yrs
435,Cape Fox,Vulpes chama,10 yrs
436,Eastern Mole,Scalopus aquaticus,36 months
437,Bank Vole,Myodes glareolus,2 yrs
438,Greater Horseshoe Bat,Rhinolophus ferrumequinum,30 yrs
439,Chacoan Peccary,Catagonus wagneri,9 yrs
440,Prairie Vole,Microtus ochrogaster,1-3 yrs
441,Mexican agouti,Dasyprocta mexicana,
442,South American Gray Fox,Lycalopex griseus,
443,Siberian Roe Deer,Capreolus pygargus,8-18 yrs
444,Australian Fur Seal,Arctocephalus pusillus,19-21 yrs
445,Brown Fur Seal,Arctocephalus pusillus,19-21 yrs
446,Darwin's Fox,Lycalopex fulvipes,7 yrs
447,Grant's Gazelle,Nanger granti,12-14 yrs
448,Rock Cavy,Kerodon rupestris,3-11 yrs
449,Walia Ibex,Capra walie,11-15 yrs
450,Yellow Mongoose,Cynictis penicillata,15 yrs
451,Southern Hairy-Nosed Wombat,Lasiorhinus latifrons,15-25 yrs
452,Cuban Solenodon,Solenodon cubanus,5 yrs
453,Black Giant Squirrel,Ratufa bicolor,18-19 yrs
454,Eld's Deer,Panolia eldii,20 yrs
455,Hog Badger,Arctonyx collaris,14 yrs
456,Golden Monkey,Cercopithecus kandti,19 yrs
457,Grizzled Giant Squirrel,Ratufa macroura,7-8 yrs
458,Kob,Kobus kob,17 yrs
459,Black-and-White Ruffed Lemur,Varecia variegata,19-32 yrs
460,East African Oryx,Oryx beisa,18 yrs
461,Water Chevrotain,Hyemoschus aquaticus,8-13 yrs
462,Grey Rhebok,Pelea capreolus,8-10 yrs
463,Richardson's Ground Squirrel,Urocitellus richardsonii,1-5 yrs
464,Toque Macaque,Macaca sinica,30-35 yrs
465,Volcano Rabbit,Romerolagus diazi,7-9 yrs
466,Western Long-Beaked Echidna,Zaglossus bruijnii,30 yrs
467,Swamp Wallaby,Wallabia bicolor,15 yrs
468,Long-Tailed Chinchilla,Chinchilla lanigera,10-20 yrs
469,Bushbuck,Tragelaphus sylvaticus,15 yrs
470,Eastern Spotted Skunk,Spilogale putorius,10 yrs
471,Indiana Bat,Myotis sodalis,5-12 yrs
472,Ili Pika,Ochotona iliensis,7 yrs
473,Desert Warthog,Phacochoerus aethiopicus,7-18 yrs
474,Spectral Bat,Vampyrum spectrum,5.5 yrs
475,Cape Hare,Lepus capensis,1-5 yrs
476,Golden-Mantled Ground Squirrel,Callospermophilus lateralis,5-7 yrs
477,Laotian Rock Rat,Laonastes aenigmamus,
478,Greater Bilby,Macrotis lagotis,6-10 yrs
479,Hispid Hare,Caprolagus hispidus,3 yrs
480,Bald Uakari,Cacajao calvus,15-30 yrs
481,Screaming Hairy Armadillo,Chaetophractus vellerosus,16 yrs
482,Dama Gazelle,Nanger dama,12-19 yrs
483,Damaraland Mole-Rat,Fukomys damarensis,15-16 yrs
484,Philippine Pangolin,Manis culionensis,20 yrs
485,Leadbeater's Possum,Gymnobelideus leadbeateri,7.5-9 yrs
486,Western Red Colobus,Piliocolobus badius,
487,Guinea Baboon,Papio papio,35-45 yrs
488,Slender Mongoose,Galerella sanguinea,8-12.6 yrs
489,Steppe Polecat,Mustela eversmanii,4-5 yrs
490,Hooded Skunk,Mephitis macroura,3 yrs
491,Eastern Red Bat,Lasiurus borealis,12 yrs
492,Mountain Pygmy Possum,Burramys parvus,4-7 yrs
493,Red Ruffed Lemur,Varecia rubra,15-20 yrs
494,Hairy-Legged Vampire Bat,Diphylla ecaudata,8 yrs
495,Southern Brown Bandicoot,Isoodon obesulus,2-4 yrs
496,Common Wallaroo,Macropus robustus,22-24 yrs
497,Aquatic Genet,Genetta piscivora,
